Column1	Column2	Column3	Column4	Column5	Column6	Column7
"LD (IY+o),C"	OCF(4)	OCF(4)	OD(3)	IO(5)	MW(3)	
"LD (IY+o),D"	OCF(4)	OCF(4)	OD(3)	IO(5)	MW(3)	
"LD (IY+o),E"	OCF(4)	OCF(4)	OD(3)	IO(5)	MW(3)	
"LD (IY+o),H"	OCF(4)	OCF(4)	OD(3)	IO(5)	MW(3)	
"LD (IY+o),L"	OCF(4)	OCF(4)	OD(3)	IO(5)	MW(3)	
"LD (IY+o),n"	OCF(4)	OCF(4)	OD(3)	IO(5)	MW(3)	
"LD (nn),A"	OCF(4)	ODL(3)	ODH(3)	MW(3)		
"LD (nn),BC"	OCF(4)	ODL(3)	ODH(3)	MW(3)	MW(3)	
"LD (nn),DE"	OCF(4)	ODL(3)	ODH(3)	MW(3)	MW(3)	
"LD (nn),HL"	OCF(4)	ODL(3)	ODH(3)	MW(3)	MW(3)	
"LD (nn),IX"	OCF(4)	ODL(3)	ODH(3)	MW(3)	MW(3)	
"LD (nn),IY"	OCF(4)	ODL(3)	ODH(3)	MW(3)	MW(3)	
"LD (nn),SP"	OCF(4)	ODL(3)	ODH(3)	MW(3)	MW(3)	
"LD A,(BC)"	OCF(4)	MR(3)				
"LD A,(DE)"	OCF(4)	MR(3)				
"LD A,(HL)"	OCF(4)	MR(3)				
"LD A,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD A,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD A,(nn)"	OCF(4)	ODL(3)	ODH(3)	MR(3)		
"LD A,A"	OCF(4)					
"LD A,B"	OCF(4)					
"LD A,C"	OCF(4)					
"LD A,D"	OCF(4)					
"LD A,E"	OCF(4)					
"LD A,H"	OCF(4)					
"LD A,I"	OCF(4)	OCF(5)				
"LD A,IXh"	OCF(4)	OCF(4)				
"LD A,IXl"	OCF(4)	OCF(4)				
"LD A,IYh"	OCF(4)	OCF(4)				
"LD A,IYl"	OCF(4)	OCF(4)				
"LD A,L"	OCF(4)					
"LD A,n"	OCF(4)	OD(3)				
"LD A,R"	OCF(4)	OCF(5)				
"LD B,(HL)"	OCF(4)	MR(3)				
"LD B,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD B,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD B,A"	OCF(4)					
"LD B,B"	OCF(4)					
"LD B,C"	OCF(4)					
"LD B,D"	OCF(4)					
"LD B,E"	OCF(4)					
"LD B,H"	OCF(4)					
"LD B,IXh"	OCF(4)	OCF(4)				
"LD B,IXl"	OCF(4)	OCF(4)				
"LD B,IYh"	OCF(4)	OCF(4)				
"LD B,IYl"	OCF(4)	OCF(4)				
"LD B,L"	OCF(4)					
"LD B,n"	OCF(4)	OD(3)				
"LD BC,(nn)"	OCF(4)	ODL(3)	ODH(3)	MRL(3)	MRH(3)	
"LD BC,nn"	OCF(4)	ODL(3)	ODH(3)			
"LD C,(HL)"	OCF(4)	MR(3)				
"LD C,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD C,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD C,A"	OCF(4)					
"LD C,B"	OCF(4)					
"LD C,C"	OCF(4)					
"LD C,D"	OCF(4)					
"LD C,E"	OCF(4)					
"LD C,H"	OCF(4)					
"LD C,IXh"	OCF(4)	OCF(4)				
"LD C,IXl"	OCF(4)	OCF(4)				
"LD C,IYh"	OCF(4)	OCF(4)				
"LD C,IYl"	OCF(4)	OCF(4)				
"LD C,L"	OCF(4)					
"LD C,n"	OCF(4)	OD(3)				
"LD D,(HL)"	OCF(4)	MR(3)				
"LD D,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD D,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD D,A"	OCF(4)					
"LD D,B"	OCF(4)					
"LD D,C"	OCF(4)					
"LD D,D"	OCF(4)					
"LD D,E"	OCF(4)					
"LD D,H"	OCF(4)					
"LD D,IXh"	OCF(4)	OCF(4)				
"LD D,IXl"	OCF(4)	OCF(4)				
"LD D,IYh"	OCF(4)	OCF(4)				
"LD D,IYl"	OCF(4)	OCF(4)				
"LD D,L"	OCF(4)					
"LD D,n"	OCF(4)	OD(3)				
"LD DE,(nn)"	OCF(4)	ODL(3)	ODH(3)	MRL(3)	MRH(3)	
"LD DE,nn"	OCF(4)	ODL(3)	ODH(3)			
"LD E,(HL)"	OCF(4)	MR(3)				
"LD E,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD E,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD E,A"	OCF(4)					
"LD E,B"	OCF(4)					
"LD E,C"	OCF(4)					
"LD E,D"	OCF(4)					
"LD E,E"	OCF(4)					
"LD E,H"	OCF(4)					
"LD E,IXh"	OCF(4)	OCF(4)				
"LD E,IXl"	OCF(4)	OCF(4)				
"LD E,IYh"	OCF(4)	OCF(4)				
"LD E,IYl"	OCF(4)	OCF(4)				
"LD E,L"	OCF(4)					
"LD E,n"	OCF(4)	OD(3)				
"LD H,(HL)"	OCF(4)	MR(3)				
"LD H,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD H,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD H,A"	OCF(4)					
"LD H,B"	OCF(4)					
"LD H,C"	OCF(4)					
"LD H,D"	OCF(4)					
"LD H,E"	OCF(4)					
"LD H,H"	OCF(4)					
"LD H,L"	OCF(4)					
"LD H,n"	OCF(4)	OD(3)				
"LD HL,(nn)"	OCF(4)	ODL(3)	ODH(3)	MRL(3)	MRH(3)	
"LD HL,nn"	OCF(4)	ODL(3)	ODH(3)			
"LD I,A"	OCF(4)	OCF(4)				
"LD IX,(nn)"	OCF(4)	OCF(4)	ODL(3)	ODH(3)	MRL(3)	MRH(3)
"LD IX,nn"	OCF(4)	OCF(4)	ODL(3)	ODH(3)		
"LD IXh,A"	OCF(4)	OCF(4)				
"LD IXh,B"	OCF(4)	OCF(4)				
"LD IXh,C"	OCF(4)	OCF(4)				
"LD IXh,D"	OCF(4)	OCF(4)				
"LD IXh,E"	OCF(4)	OCF(4)				
"LD IXh,IXh"	OCF(4)	OCF(4)				
"LD IXh,IXl"	OCF(4)	OCF(4)				
"LD IXh,n"	OCF(4)	OCF(4)	OD(3)			
"LD IXl,A"	OCF(4)	OCF(4)				
"LD IXl,B"	OCF(4)	OCF(4)				
"LD IXl,C"	OCF(4)	OCF(4)				
"LD IXl,D"	OCF(4)	OCF(4)				
"LD IXl,E"	OCF(4)	OCF(4)				
"LD IXl,IXh"	OCF(4)	OCF(4)				
"LD IXl,IXl"	OCF(4)	OCF(4)				
"LD IXl,n"	OCF(4)	OCF(4)	OD(3)			
"LD IY,(nn)"	OCF(4)	OCF(4)	ODL(3)	ODH(3)	MRL(3)	MRH(3)
"LD IY,nn"	OCF(4)	OCF(4)	ODL(3)	ODH(3)		
"LD IYh,A"	OCF(4)	OCF(4)				
"LD IYh,B"	OCF(4)	OCF(4)				
"LD IYh,C"	OCF(4)	OCF(4)				
"LD IYh,D"	OCF(4)	OCF(4)				
"LD IYh,E"	OCF(4)	OCF(4)				
"LD IYh,IYh"	OCF(4)	OCF(4)				
"LD IYh,IYl"	OCF(4)	OCF(4)				
"LD IYh,n"	OCF(4)	OCF(4)	OD(3)			
